TIME,DRIVE_MOTOR_PW,STEERING_SERVO_PW,GX,GY
2003,2028,2845,0,-52
2004,2028,2845,0,-52
2005,2028,2845,0,-52
2006,2028,2845,0,-52
2007,2028,2845,0,-52
2008,2028,2845,0,-52
2009,2028,2845,0,-52
2010,2028,2845,0,-52
2011,2028,2845,0,-24
2012,2028,2845,0,-24
2013,2028,2845,0,-24
2014,2028,2845,0,-24
2015,2028,2845,0,-24
2016,2028,2845,0,-24
2017,2028,2845,0,-24
2018,2028,2845,0,-24
2019,2028,2845,0,-24
2021,2028,2845,0,-36
2022,2028,2845,0,-36
2023,2028,2845,0,-36
2024,2028,2845,0,-36
2025,2028,2845,0,-36
2027,2028,2845,0,-36
2028,2028,2845,0,-36
2029,2028,2845,0,-36
2030,2028,2845,0,-36
2031,2028,2305,20,-44
2032,2028,2305,20,-44
2033,2028,2305,20,-44
2036,2028,2357,20,-44
2037,2028,2305,20,-44
2038,2028,2305,20,-44
2039,2028,2305,20,-44
2040,2028,2305,20,-44
2041,2765,2845,0,0
2042,2765,2845,0,0
2043,2765,2845,0,0
2044,2765,2845,0,0
2045,2765,2845,0,0
2046,2765,2845,0,0
2047,2765,2845,0,0
2048,2765,2845,0,0
2049,2765,2845,0,0
2050,2765,2845,0,0
2055,2028,2305,28,-24
2056,2028,2305,28,-24
2057,2028,2305,28,-24
2058,2028,2305,28,-24
2059,2028,2305,28,-24
2060,2028,2305,28,-24
2061,2765,2845,0,0
2062,2765,2845,0,0
2063,2765,2845,0,0
2064,2765,2845,0,0
2065,2765,2845,0,0
2066,2765,2845,0,0
2067,2765,2845,0,0
2068,2765,2845,0,0
2069,2765,2845,0,0
2070,2765,2845,0,0
2071,2765,2845,0,0
2072,2765,2845,0,0
2073,2765,2845,0,0
2074,2765,2845,0,0
2075,2765,2845,0,0
2076,2765,2845,0,0
2077,2765,2845,0,0
2078,2765,2845,0,0
2079,2765,2845,0,0
2080,2765,2845,0,0
2081,2765,2845,0,0
2082,2765,2845,0,0
2083,2765,2845,0,0
2084,2765,2845,0,0
2085,2765,2845,0,0
2086,2765,2845,0,0
2087,2765,2845,0,0
2088,2765,2845,0,0
2089,2765,2845,0,0
2090,2765,2845,0,0
2091,2765,2845,0,0
2092,2765,2845,0,0
2093,2765,2845,0,0
2094,2765,2845,0,0
2095,2765,2845,0,0
2096,2765,2845,0,0
2097,2765,2845,0,0
2098,2765,2845,0,0
2099,2765,2845,0,0
2100,2765,2845,0,0
2101,2765,2845,0,0
2102,2765,2845,0,0
2103,2765,2845,0,0
2104,2765,2845,0,0
2105,2765,2845,0,0
2106,2765,2845,0,0
2107,2765,2845,0,0
2108,2765,2845,0,0
2109,2765,2845,0,0
2110,2765,2845,0,0
2111,2765,2845,0,0
2112,2765,2845,0,0
2113,2765,2845,0,0
2114,2765,2845,0,0
2115,2765,2845,0,0
2116,2765,2845,0,0
2117,2765,2845,0,0
2118,2765,2845,0,0
2119,2765,2845,0,0
2120,2765,2845,0,0
2121,2028,2845,0,-20
2122,2028,2845,0,-20
2123,2028,2845,0,-20
2124,2028,2845,0,-20
2125,2028,2845,0,-20
2126,2028,2845,0,-20
2127,2028,2845,0,-20
2129,2028,2845,0,-20
2130,2028,2845,0,-20
2131,2028,2845,0,-28
2132,2028,2845,0,-28
2133,2028,2845,0,-28
2135,2028,2845,0,-28
2136,2028,2845,0,-28
2138,2028,2845,0,-28
2139,2028,2845,0,-28
2141,2028,2845,0,-72
2142,2028,2845,0,-72
2143,2028,2845,0,-72
2144,2028,2845,0,-72
2145,2028,2845,0,-72
2146,2028,2845,0,-72
2147,2028,2845,0,-72
2148,2028,2845,0,-72
2149,2028,2845,0,-72
2150,2028,2845,0,-72
2151,2028,2305,40,0
2152,2028,2305,40,0
2153,2028,2305,40,0
2154,2028,2305,40,0
2155,2028,2305,40,0
2156,2028,2305,40,0
2157,2028,2305,40,0
2158,2028,2305,40,0
2159,2028,2305,40,0
2160,2028,2305,40,0
2161,2765,2845,0,0
2162,2765,2845,0,0
2163,2765,2845,0,0
2164,2765,2845,0,0
2165,2765,2845,0,0
2166,2765,2845,0,0
2167,2765,2845,0,0
2168,2765,2845,0,0
2169,2765,2845,0,0
2170,2765,2845,0,0
2172,2028,3340,-32,0
2173,2028,3340,-32,0
2174,2028,3340,-32,0
2175,2028,3340,-32,0
2176,2028,3340,-32,0
2179,2028,3340,-32,0
2181,2765,2845,0,20
2182,2765,2845,0,20
2183,2765,2845,0,20
2184,2765,2845,0,20
2185,2765,2845,0,20
2186,2765,2845,0,20
2188,2765,2845,0,20
2189,2765,2845,0,20
2190,2765,2845,0,20
2191,2028,3340,-40,0
2192,2028,3340,-40,0
2193,2028,3340,-40,0
2194,2028,3340,-40,0
2197,2028,3340,-40,0
2199,2028,3340,-40,0
2200,2028,3340,-40,0
2201,2028,3340,-80,32
2202,2028,3340,-80,32
2203,2028,3340,-80,32
2204,2028,3340,-80,32
2206,2028,3340,-80,32
2207,2028,3340,-80,32
2208,2028,3340,-80,32
2209,2028,3340,-80,32
2210,2028,3340,-80,32
2211,2365,2305,32,24
2212,2365,2305,32,24
2213,2365,2305,32,24
2214,2365,2305,32,24
2215,2365,2305,32,24
2216,2365,2305,32,24
2217,2365,2305,32,24
2218,2365,2305,32,24
2219,2365,2305,32,24
2220,2365,2305,32,24
2221,2765,2845,0,24
2222,2765,2845,0,24
2223,2765,2845,0,24
2224,2765,2845,0,24
2225,2765,2845,0,24
2226,2765,2845,0,24
2227,2765,2845,0,24
2228,2765,2845,0,24
2229,2765,2845,0,24
2231,2765,3340,-36,36
2232,2765,3340,-36,36
2233,2765,3340,-36,36
2234,2765,3340,-36,36
2235,2765,3340,-36,36
2236,2765,3340,-36,36
2237,2765,3340,-36,36
2238,2765,3340,-36,36
2239,2765,3340,-36,36
2240,2765,3340,-36,36
2241,2365,3340,-44,36
2242,2365,3340,-44,36
2243,2365,3340,-44,36
2244,2365,3340,-44,36
2245,2365,3340,-44,36
2246,2365,3340,-44,36
2247,2365,3340,-44,36
2248,2365,3340,-44,36
2249,2365,3340,-44,36
